Issue key,Issue id,Summary,Status,Custom field (Requirement Priority)
LVV-9806,299706,DMS-LSP-REQ-0007-V-01: Abide by the Data Access Policies_1,Covered,
LVV-9807,305560,DMS-LSP-REQ-0001-V-01: Access to All Released or Authorized Data Products_1,In Verification,
LVV-9808,305558,DMS-LSP-REQ-0004-V-01: API (Data Access) Aspect_1,In Verification,
LVV-9809,305559,DMS-LSP-REQ-0005-V-01: Linkage of Aspects_1,In Verification,
LVV-9810,305561,DMS-LSP-REQ-0003-V-01: Notebook Aspect_1,In Verification,
LVV-9811,305564,DMS-LSP-REQ-0002-V-01: Portal Aspect_1,In Verification,
LVV-9812,305566,DMS-LSP-REQ-0006-V-01: Use of VO Standards_1,In Verification,
LVV-9813,299707,DMS-LSP-REQ-0009-V-01: Semantic Linkage: Uncertainties_1,Covered,
LVV-9814,305565,DMS-LSP-REQ-0008-V-01: Semantic Linkage_1,In Verification,
LVV-9815,306998,DMS-LSP-REQ-0010-V-01: Transfer of Portal Data References to Notebook_1,Verified,
LVV-9816,299712,DMS-LSP-REQ-0012-V-01: User Database Workspace_1,Covered,
LVV-9817,299709,DMS-LSP-REQ-0011-V-01: User File Workspace_1,Covered,
LVV-9818,299713,DMS-LSP-REQ-0013-V-01: User Workspace Access Controls_1,Covered,
LVV-9819,305567,DMS-LSP-REQ-0014-V-01: Download Data_1,In Verification,
LVV-9820,305568,DMS-LSP-REQ-0018-V-01: Image Data Download File Format_1,In Verification,
LVV-9821,305571,DMS-LSP-REQ-0017-V-01: Tabular Data Download File Formats_1,In Verification,
LVV-9822,299708,DMS-LSP-REQ-0016-V-01: Transfer Data to Workspace_1,Covered,
LVV-9823,299710,DMS-LSP-REQ-0015-V-01: Upload Data_1,Covered,
LVV-9824,305569,DMS-LSP-REQ-0028-V-01: Peak Volume for Moderate-Sized Queries_1,In Verification,
LVV-9825,305570,DMS-LSP-REQ-0029-V-01: Peak Volume for Queries on all Objects_1,In Verification,
LVV-9826,299711,DMS-LSP-REQ-0030-V-01: Peak Volume of In-process Queries_1,Covered,
LVV-9827,299722,DMS-LSP-REQ-0031-V-01: Query Result Download Bandwidth_1,Covered,
LVV-9828,299716,DMS-LSP-REQ-0019-V-01: Documentation_1,Covered,
LVV-9829,299714,DMS-LSP-REQ-0025-V-01: Acceptable Use Policy_1,Covered,
LVV-9830,305572,DMS-LSP-REQ-0020-V-01: Authenticated User Access_1,In Verification,
LVV-9831,305574,DMS-LSP-REQ-0022-V-01: Common Identity_1,In Verification,
LVV-9832,299715,DMS-LSP-REQ-0021-V-01: New-user Support_1,Covered,
LVV-9833,299719,DMS-LSP-REQ-0027-V-01: Privacy of User Activities_1,Covered,
LVV-9834,305575,DMS-LSP-REQ-0023-V-01: Use of External Identity Providers_1,In Verification,
LVV-9835,305573,DMS-LSP-REQ-0024-V-01: Use of Multiple Sets of Credentials_1,In Verification,
LVV-9836,305576,DMS-LSP-REQ-0026-V-01: Using secure protocols_1,In Verification,
LVV-9837,299718,DMS-LSP-REQ-0033-V-01: Internet-Accessible (IPv4)_1,Covered,
LVV-9838,299721,DMS-LSP-REQ-0034-V-01: Internet-Accessible (IPv6)_1,Covered,
LVV-9839,299720,DMS-LSP-REQ-0032-V-01: Multiple installations_1,Covered,
LVV-9840,299724,DMS-LSP-REQ-0035-V-01: System-Availability Indication_1,Covered,
LVV-9841,306988,DMS-PRTL-REQ-0001-V-01: Portal is a Web Application_1,Verified,
LVV-9842,299723,DMS-PRTL-REQ-0005-V-01: Access to Calibration Products_1,Covered,
LVV-9843,299725,DMS-PRTL-REQ-0007-V-01: Access to External Archives_1,Covered,
LVV-9844,299728,DMS-PRTL-REQ-0008-V-01: API for Access to Portal Session State_1,Covered,
LVV-9845,299727,DMS-PRTL-REQ-0006-V-01: Coadded Image to Single-Epoch Image Associations_1,Covered,
LVV-9846,305577,DMS-PRTL-REQ-0003-V-01: Portal Access to Workspace_1,In Verification,
LVV-9847,299729,DMS-PRTL-REQ-0002-V-01: Portal Discovery of all Data Products_1,Covered,
LVV-9848,299733,DMS-PRTL-REQ-0004-V-01: Semantic Linkage: Portal Workflows_1,Covered,
LVV-9849,299726,DMS-PRTL-REQ-0010-V-01: Long Query Backgrounding_1,Covered,
LVV-9850,299731,DMS-PRTL-REQ-0013-V-01: Query History Inspection_1,Covered,
LVV-9851,299732,DMS-PRTL-REQ-0012-V-01: Query Results Size Limitation_1,Covered,
LVV-9852,299735,DMS-PRTL-REQ-0014-V-01: Query Saving - Portal_1,Covered,
LVV-9853,299740,DMS-PRTL-REQ-0011-V-01: Query Status and Termination Notification_1,Covered,
LVV-9854,299745,DMS-PRTL-REQ-0009-V-01: Support Synchronous and Asynchronous Queries_1,Covered,
LVV-9855,307009,DMS-PRTL-REQ-0017-V-01: Generic Query - ADQL-based_1,Verified,
LVV-9856,307015,DMS-PRTL-REQ-0016-V-01: Generic Query - Form-based_1,Verified,
LVV-9857,306993,DMS-PRTL-REQ-0015-V-01: Generic Query_1,Verified,
LVV-9858,299736,DMS-PRTL-REQ-0018-V-01: Query Result Size_1,Covered,
LVV-9859,305578,DMS-PRTL-REQ-0028-V-01: Query by Identifier_1,In Verification,
LVV-9860,299741,DMS-PRTL-REQ-0029-V-01: Query by LSST Object and Source Identifiers: Specific Match to Identifier_1,Covered,
LVV-9861,299742,DMS-PRTL-REQ-0030-V-01: Query by Solar System Objects: Specific Match to Identifier_1,Covered,
LVV-9862,307003,DMS-PRTL-REQ-0022-V-01: Positional Query: Astrophysical Coordinate Systems_1,Verified,
LVV-9863,299737,DMS-PRTL-REQ-0023-V-01: Positional Query: Astrophysical Source Name Lookup_1,Covered,
LVV-9864,299746,DMS-PRTL-REQ-0024-V-01: Positional Query: LSST Object and Source Identifiers_1,Covered,
LVV-9865,299747,DMS-PRTL-REQ-0021-V-01: Positional Query: Multiple Positions/Objects_1,Covered,
LVV-9866,307026,DMS-PRTL-REQ-0020-V-01: Positional Query: Position on the Sky_1,Verified,
LVV-9867,299750,DMS-PRTL-REQ-0025-V-01: Positional Query: Solar System Object Names_1,Covered,
LVV-9868,305582,DMS-PRTL-REQ-0027-V-01: Positional Query by Region: Box-Search_1,In Verification,
LVV-9869,307045,DMS-PRTL-REQ-0026-V-01: Positional Query by Region: Cone-Search_1,Verified,
LVV-9870,305579,DMS-PRTL-REQ-0019-V-01: Query by Date and Time: Time Range of Observation_1,In Verification,
LVV-9871,299756,DMS-PRTL-REQ-0034-V-01: Access to Original Alert State_1,Covered,
LVV-9872,299751,DMS-PRTL-REQ-0033-V-01: Queries on the Alerts Database_1,Covered,
LVV-9873,299755,DMS-PRTL-REQ-0032-V-01: Query Tabular Data based upon Image MetaData_1,Covered,
LVV-9874,305580,DMS-PRTL-REQ-0031-V-01: Tabular Data Query Specifications_1,In Verification,
LVV-9875,303296,DMS-PRTL-REQ-0039-V-01: Coadded Image Query Specifications_1,Verified,
LVV-9876,305464,DMS-PRTL-REQ-0037-V-01: Query for Single Epoch CCD Image_1,In Verification,
LVV-9877,299754,DMS-PRTL-REQ-0036-V-01: Query for Single Epoch Raft Images_1,Covered,
LVV-9878,305463,DMS-PRTL-REQ-0035-V-01: Query for Single Epoch Visit Images_1,In Verification,
LVV-9879,305462,DMS-PRTL-REQ-0038-V-01: Single-Epoch Image Query Specifications_1,Verified,
