Issue key,Issue id,Summary,Status,Custom field (Requirement Priority)
LVV-19739,301503,DMS-MWBT-REQ-0014-V-01: Collection Layering: Data Release and external hardware_1,Not Covered,1a
LVV-19740,293196,DMS-MWBT-REQ-0053-V-01: Enabling PipelineTasks to execute_1,Verified,1a
LVV-19741,293193,DMS-MWBT-REQ-0067-V-01: Consistent Output Interface_1,Verified,1a
LVV-19742,293197,DMS-MWST-REQ-0013-V-01: I/O via Butler_1,Verified,
LVV-19743,293198,DMS-MWBT-REQ-0005-V-01: Repository Removal_1,Verified,1a
LVV-19744,301646,DMS-MWBT-REQ-0023-V-01: Dimension Update_1,Not Covered,1b
LVV-19745,301502,DMS-MWBT-REQ-0051-V-01: Override part of a composite dataset_1,Not Covered,1a
LVV-19746,293199,DMS-MWBT-REQ-0073-V-01: Blocked write operation_1,Verified,1a
LVV-19747,293202,DMS-MWBT-REQ-0074-V-01: No clobber_1,Verified,1a
LVV-19748,293201,DMS-MWBT-REQ-0020-V-01: Sky Tile Definition_1,Verified,1a
LVV-19749,293200,DMS-MWBT-REQ-0025-V-01: Format pluggability_1,Verified,1a
LVV-19750,293203,DMS-MWST-REQ-0014-V-01: Butler dataset type configuration_1,Verified,
LVV-19751,301647,DMS-MWBT-REQ-0011-V-01: Subsetting a DataRepository with data transfer_1,Not Covered,1a
LVV-19752,301649,DMS-MWBT-REQ-0057-V-01: Queries as Datasets_1,Not Covered,1a
LVV-19753,293204,DMS-MWBT-REQ-0054-V-01: Failure on missing input file_1,Verified,1a
LVV-19754,304805,DMS-MWBT-REQ-0078-V-01: Filename invariance_1,Covered,1a
LVV-19755,301504,DMS-MWBT-REQ-0079-V-01: Output Staging_1,Not Covered,1b
LVV-19756,293205,DMS-MWBT-REQ-0034-V-01: Item from Composite Datasets_1,Verified,1a
LVV-19757,293206,DMS-MWBT-REQ-0060-V-01: Writer configurability_1,Verified,1a
LVV-19758,301506,DMS-MWBT-REQ-0050-V-01: Reading up-to-date visit metadata_1,Not Covered,1a
LVV-19759,293207,DMS-MWBT-REQ-0075-V-01: Data Output references_1,Verified,1a
LVV-19760,293208,DMS-MWBT-REQ-0082-V-01: Multiple parallel input Collections_1,Verified,1a
LVV-19761,301505,DMS-MWBT-REQ-0035-V-01: Metadata merging_1,Not Covered,1a
LVV-19762,293209,DMS-MWST-REQ-0001-V-01: Complete algorithmic work specification_1,Verified,
LVV-19763,293210,DMS-MWST-REQ-0023-V-01: Butler instantiation_1,Verified,
LVV-19764,293211,DMS-MWBT-REQ-0066-V-01: Output location_1,Verified,1a
LVV-19765,301507,DMS-MWBT-REQ-0089-V-01: Filter by data quality_1,Not Covered,1a
LVV-19766,304807,DMS-MWBT-REQ-0055-V-01: Local proxy_1,Covered,1a
LVV-19767,293216,DMS-MWBT-REQ-0047-V-01: External Data Ingest and Serve_1,Verified,1a
LVV-19768,301508,DMS-MWBT-REQ-0028-V-01: VOSpace_1,Not Covered,1a
LVV-19769,293214,DMS-MWBT-REQ-0017-V-01: Collection Layering: Science Platform_1,Verified,1a
LVV-19770,293212,DMS-MWST-REQ-0003-V-01: Programming API_1,Verified,
LVV-19771,301509,DMS-MWBT-REQ-0096-V-01: Provenance in Datasets_1,Not Covered,2
LVV-19772,293213,DMS-MWBT-REQ-0058-V-01: Local caching of remote resources_1,Verified,1a
LVV-19773,293218,DMS-MWBT-REQ-0031-V-01: I/O using cloud storage_1,Verified,1a
LVV-19774,293220,DMS-MWST-REQ-0005-V-01: Pipeline configuration_1,Verified,
LVV-19775,301511,DMS-MWBT-REQ-0041-V-01: Querying the Engineering and Facility Database_1,Not Covered,1a
LVV-19776,301510,DMS-MWBT-REQ-0044-V-01: Unified interface to summit/base EFD and transformed EFD_1,Not Covered,1a
LVV-19777,293217,DMS-MWST-REQ-0018-V-01: Multiple specializations of execution environments_1,Verified,
LVV-19778,304806,DMS-MWBT-REQ-0007-V-01: Repository Merging_1,Covered,1a
LVV-19779,293215,DMS-MWBT-REQ-0059-V-01: Creation of new DatasetTypes_1,Verified,1a
