Issue key,Issue id,Summary,Status,Custom field (Requirement Priority)
LVV-3,305177,DMS-REQ-0002-V-01: Transient Alert Distribution,In Verification,1b
LVV-5,292078,DMS-REQ-0008-V-01: Pipeline Availability,Covered,1b
LVV-6,305826,DMS-REQ-0009-V-01: Simulated Data,Verified,1b
LVV-7,305830,DMS-REQ-0010-V-01: Difference Exposures,Verified,1b
LVV-8,305178,DMS-REQ-0018-V-01: Raw Science Image Data Acquisition,Verified,1a
LVV-9,305174,DMS-REQ-0020-V-01: Wavefront Sensor Data Acquisition,In Verification,1a
LVV-10,302106,DMS-REQ-0022-V-01: Crosstalk Corrected Science Image Data Acquisition,Descoped,2
LVV-11,305828,DMS-REQ-0024-V-01: Raw Image Assembly,Verified,1a
LVV-12,305831,DMS-REQ-0029-V-01: Generate Photometric Zeropoint for Visit Image,Verified,1b
LVV-13,305833,DMS-REQ-0030-V-01: Absolute accuracy of WCS,Verified,1a
LVV-14,305176,DMS-REQ-0032-V-01: Image Differencing,In Verification,1b
LVV-15,305832,DMS-REQ-0033-V-01: Provide Source Detection Software,Verified,1a
LVV-16,292084,DMS-REQ-0034-V-01: Associate Sources to Objects,Covered,1b
LVV-17,292073,DMS-REQ-0042-V-01: Provide Astrometric Model,Covered,1b
LVV-18,293027,DMS-REQ-0043-V-01: Provide Calibrated Photometry,Monitoring,1a
LVV-19,292075,DMS-REQ-0046-V-01: Provide Photometric Redshifts of Galaxies,Covered,2
LVV-20,305835,DMS-REQ-0047-V-01: Provide PSF for Coadded Images,Verified,1b
LVV-21,292091,DMS-REQ-0052-V-01: Enable a Range of Shape Measurement Approaches,Covered,1b
LVV-22,305175,DMS-REQ-0059-V-01: Bad Pixel Map,In Verification,1a
LVV-23,305837,DMS-REQ-0060-V-01: Bias Residual Image,Verified,1a
LVV-24,305179,DMS-REQ-0061-V-01: Crosstalk Correction Matrix,In Verification,1a
LVV-25,292081,DMS-REQ-0062-V-01: Illumination Correction Frame,Covered,1b
LVV-26,292089,DMS-REQ-0063-V-01: Monochromatic Flatfield Data Cube,Covered,1b
LVV-27,292096,DMS-REQ-0065-V-01: Provide Image Access Services,Covered,1b
LVV-28,305180,DMS-REQ-0068-V-01: Raw Science Image Metadata,In Verification,1a
LVV-29,305183,DMS-REQ-0069-V-01: Processed Visit Images,In Verification,1a
LVV-30,305838,DMS-REQ-0070-V-01: Generate PSF for Visit Images,Verified,1b
LVV-31,305843,DMS-REQ-0072-V-01: Processed Visit Image Content,Verified,1a
LVV-32,292099,DMS-REQ-0074-V-01: Difference Exposure Attributes,Covered,1b
LVV-33,305840,DMS-REQ-0075-V-01: Catalog Queries,Verified,1a
LVV-34,292094,DMS-REQ-0077-V-01: Maintain Archive Publicly Accessible,Covered,1b
LVV-35,305844,DMS-REQ-0078-V-01: Catalog Export Formats,Verified,1a
LVV-36,292101,DMS-REQ-0089-V-01: Solar System Objects Available Within Specified Time,Covered,1b
LVV-37,292110,DMS-REQ-0094-V-01: Keep Historical Alert Archive,Covered,1b
LVV-38,292108,DMS-REQ-0096-V-01: Generate Data Quality Report Within Specified Time,In Verification,1a
LVV-39,292106,DMS-REQ-0097-V-01: Level 1 Data Quality Report Definition,Monitoring,1a
LVV-40,292104,DMS-REQ-0098-V-01: Generate DMS Performance Report Within Specified Time,Covered,1b
LVV-41,292115,DMS-REQ-0099-V-01: Level 1 Performance Report Definition,Covered,1b
LVV-42,292113,DMS-REQ-0100-V-01: Generate Calibration Report Within Specified Time,Covered,1b
LVV-43,292118,DMS-REQ-0101-V-01: Level 1 Calibration Report Definition,In Verification,1a
LVV-44,292124,DMS-REQ-0102-V-01: Provide Engineering & Facility Database Archive,In Verification,1a
LVV-45,292121,DMS-REQ-0103-V-01: Produce Images for EPO,Covered,1b
LVV-46,292123,DMS-REQ-0106-V-01: Coadded Image Provenance,Covered,1b
LVV-47,292127,DMS-REQ-0119-V-01: DAC resource allocation for Level 3 processing,Covered,2
LVV-48,292128,DMS-REQ-0120-V-01: Level 3 Data Product Self Consistency,Covered,2
LVV-49,292125,DMS-REQ-0121-V-01: Provenance for Level 3 processing at DACs,Covered,2
LVV-50,292130,DMS-REQ-0122-V-01: Access to catalogs for external Level 3 processing,Covered,2
LVV-51,292126,DMS-REQ-0123-V-01: Access to input catalogs for DAC-based Level 3 processing,Covered,2
LVV-52,292129,DMS-REQ-0124-V-01: Federation with external catalogs,Covered,2
LVV-53,292131,DMS-REQ-0125-V-01: Software framework for Level 3 catalog processing,Covered,2
LVV-54,292136,DMS-REQ-0126-V-01: Access to images for external Level 3 processing,Covered,2
LVV-55,292132,DMS-REQ-0127-V-01: Access to input images for DAC-based Level 3 processing,Covered,2
LVV-56,292133,DMS-REQ-0128-V-01: Software framework for Level 3 image processing,Covered,2
LVV-57,305181,DMS-REQ-0130-V-01: Calibration Data Products,In Verification,1a
LVV-58,292138,DMS-REQ-0131-V-01: Time allowed to process calibs,Covered,2
LVV-59,305186,DMS-REQ-0132-V-01: Calibration Image Provenance,In Verification,1a
LVV-60,292135,DMS-REQ-0155-V-01: Provide Data Access Services,In Verification,1a
LVV-61,305841,DMS-REQ-0156-V-01: Provide Pipeline Execution Services,Verified,1a
LVV-62,305184,DMS-REQ-0158-V-01: Provide Pipeline Construction Services,In Verification,1a
LVV-63,292134,DMS-REQ-0160-V-01: Provide User Interface Services,Covered,1b
LVV-64,292139,"DMS-REQ-0161-V-01: Optimization of Cost, Reliability and Availability in Order",Covered,1b
LVV-65,292137,DMS-REQ-0162-V-01: Pipeline Throughput,Covered,1b
LVV-66,291961,DMS-REQ-0163-V-01: Re-processing Capacity,Covered,1b
LVV-67,291962,DMS-REQ-0164-V-01: Temporary Storage for Communications Links,Covered,1b
LVV-68,292140,"DMS-REQ-0165-V-01: Infrastructure Sizing for ""catching up""",Covered,1b
LVV-69,291965,DMS-REQ-0166-V-01: Incorporate Fault-Tolerance,Covered,1b
LVV-70,291963,DMS-REQ-0167-V-01: Incorporate Autonomics,Covered,2
LVV-71,291968,DMS-REQ-0168-V-01: Summit Facility Data Communications,In Verification,1a
LVV-72,291964,DMS-REQ-0170-V-01: Prefer Computing and Storage Down,Covered,1b
LVV-73,305182,DMS-REQ-0171-V-01: Summit to Base Network,In Verification,1a
LVV-74,291966,DMS-REQ-0172-V-01: Summit to Base Network Availability,Covered,1b
LVV-75,291967,DMS-REQ-0173-V-01: Summit to Base Network Reliability,Covered,1b
LVV-76,291969,DMS-REQ-0174-V-01: Summit to Base Network Secondary Link,Covered,1b
LVV-77,291970,DMS-REQ-0175-V-01: Summit to Base Network Ownership and Operation,In Verification,1b
LVV-78,291972,DMS-REQ-0176-V-01: Base Facility Infrastructure,In Verification,1a
LVV-79,302109,DMS-REQ-0177-V-01: Base Facility Temporary Storage,Descoped,
LVV-80,305846,DMS-REQ-0178-V-01: Base Facility Co-Location with Existing Facility,Verified,1b
LVV-81,291971,DMS-REQ-0180-V-01: Base to Archive Network,Covered,1b
LVV-82,291973,DMS-REQ-0181-V-01: Base to Archive Network Availability,Covered,1b
LVV-83,291975,DMS-REQ-0182-V-01: Base to Archive Network Reliability,Covered,1b
LVV-84,291976,DMS-REQ-0183-V-01: Base to Archive Network Secondary Link,Covered,1b
LVV-85,291980,DMS-REQ-0185-V-01: Archive Center,In Verification,1a
LVV-86,291974,DMS-REQ-0186-V-01: Archive Center Disaster Recovery,In Verification,1a
LVV-87,305849,DMS-REQ-0187-V-01: Archive Center Co-Location with Existing Facility,Verified,1b
LVV-88,291977,DMS-REQ-0188-V-01: Archive to Data Access Center Network,Covered,1b
LVV-89,291978,DMS-REQ-0189-V-01: Archive to Data Access Center Network Availability,Covered,1b
LVV-90,291979,DMS-REQ-0190-V-01: Archive to Data Access Center Network Reliability,Covered,1b
LVV-91,291986,DMS-REQ-0191-V-01: Archive to Data Access Center Network Secondary Link,Covered,1b
LVV-92,291982,DMS-REQ-0193-V-01: Data Access Centers,Covered,1b
LVV-93,291981,DMS-REQ-0194-V-01: Data Access Center Simultaneous Connections,Covered,1b
LVV-94,291983,DMS-REQ-0196-V-01: Data Access Center Geographical Distribution,Covered,1b
LVV-95,291988,DMS-REQ-0197-V-01: No Limit on Data Access Centers,Covered,2
LVV-96,291985,DMS-REQ-0265-V-01: Guider Calibration Data Acquisition,In Verification,1a
LVV-97,291987,DMS-REQ-0266-V-01: Exposure Catalog,In Verification,1a
LVV-98,291984,DMS-REQ-0267-V-01: Source Catalog,Covered,1b
LVV-99,305848,DMS-REQ-0268-V-01: Forced-Source Catalog,Verified,1b
LVV-100,291989,DMS-REQ-0269-V-01: DIASource Catalog,Covered,1b
LVV-101,291994,DMS-REQ-0270-V-01: Faint DIASource Measurements,Covered,2
LVV-102,305190,DMS-REQ-0271-V-01: Max nearby galaxies associated with DIASource,In Verification,1b
LVV-103,291990,DMS-REQ-0272-V-01: DIAObject Attributes,Covered,1b
LVV-104,291995,DMS-REQ-0273-V-01: SSObject Catalog,Covered,2
LVV-105,291996,DMS-REQ-0274-V-01: Alert Content,Covered,1b
LVV-106,291991,DMS-REQ-0275-V-01: Object Catalog,Covered,1b
LVV-107,291993,DMS-REQ-0276-V-01: Object Characterization,Covered,1b
LVV-108,302120,DMS-REQ-0277-V-01: Coadd Source Catalog,Descoped,1b
LVV-109,305853,DMS-REQ-0278-V-01: Coadd Image Method Constraints,Verified,1b
LVV-110,291992,DMS-REQ-0279-V-01: Deep Detection Coadds,In Verification,1b
LVV-111,305185,DMS-REQ-0280-V-01: Template Coadds,In Verification,1b
LVV-112,292001,DMS-REQ-0281-V-01: Multi-band Coadds,In Verification,1b
LVV-113,305851,DMS-REQ-0282-V-01: Dark Current Correction Frame Creation,Verified,1a
LVV-114,305187,DMS-REQ-0283-V-01: Fringe Correction Frame,In Verification,1b
LVV-115,292003,DMS-REQ-0284-V-01: Level-1 Production Completeness,Covered,1b
LVV-116,291997,DMS-REQ-0285-V-01: Level 1 Source Association,Covered,1b
LVV-117,292000,DMS-REQ-0286-V-01: SSObject Precovery,Covered,2
LVV-118,291998,DMS-REQ-0287-V-01: Max look-back time for precovery,Covered,1b
