Issue key,Issue id,Summary,Assignee,Assignee Id,Custom field (Requirement Priority),Status
LVV-3,305177,DMS-REQ-0002-V-01: Transient Alert Distribution,Leanne Guy,63764f019960988ef6bcba0e,1b,In Verification
LVV-5,292078,DMS-REQ-0008-V-01: Pipeline Availability,Leanne Guy,63764f019960988ef6bcba0e,1b,Covered
LVV-6,305826,DMS-REQ-0009-V-01: Simulated Data,Jim Bosch,5c2f5797a217aa69bce53f54,1b,Verified
LVV-7,305830,DMS-REQ-0010-V-01: Difference Exposures,Eric Bellm,557058:49aa4cb9-303e-4a6b-9428-6c8646cbc11d,1b,Verified
LVV-8,305178,DMS-REQ-0018-V-01: Raw Science Image Data Acquisition,Leanne Guy,63764f019960988ef6bcba0e,1a,Verified
LVV-9,305174,DMS-REQ-0020-V-01: Wavefront Sensor Data Acquisition,Gregory Dubois-Felsmann,557058:5afef4b4-f1bc-4238-977f-9f8d3183e55c,1a,In Verification
LVV-10,302106,DMS-REQ-0022-V-01: Crosstalk Corrected Science Image Data Acquisition,Gregory Dubois-Felsmann,557058:5afef4b4-f1bc-4238-977f-9f8d3183e55c,2,Descoped
LVV-11,305828,DMS-REQ-0024-V-01: Raw Image Assembly,Gregory Dubois-Felsmann,557058:5afef4b4-f1bc-4238-977f-9f8d3183e55c,1a,Verified
LVV-12,305831,DMS-REQ-0029-V-01: Generate Photometric Zeropoint for Visit Image,Jim Bosch,5c2f5797a217aa69bce53f54,1b,Verified
LVV-13,305833,DMS-REQ-0030-V-01: Absolute accuracy of WCS,Jim Bosch,5c2f5797a217aa69bce53f54,1a,Verified
LVV-14,305176,DMS-REQ-0032-V-01: Image Differencing With Coadd Templates,Eric Bellm,557058:49aa4cb9-303e-4a6b-9428-6c8646cbc11d,1b,In Verification
LVV-15,305832,DMS-REQ-0033-V-01: Provide Source Detection Software,Jim Bosch,5c2f5797a217aa69bce53f54,1a,Verified
LVV-16,292084,DMS-REQ-0034-V-01: Associate Sources to Objects,Jim Bosch,5c2f5797a217aa69bce53f54,1b,Covered
LVV-17,292073,DMS-REQ-0042-V-01: Provide Astrometric Model,Jim Bosch,5c2f5797a217aa69bce53f54,1b,Covered
LVV-18,293027,DMS-REQ-0043-V-01: Provide Calibrated Photometry,Jim Bosch,5c2f5797a217aa69bce53f54,1a,Verified
LVV-19,292075,DMS-REQ-0046-V-01: Provide Photometric Redshifts of Galaxies,Jim Bosch,5c2f5797a217aa69bce53f54,2,In Verification
LVV-20,305835,DMS-REQ-0047-V-01: Provide PSF for Coadded Images,Jim Bosch,5c2f5797a217aa69bce53f54,1b,Verified
LVV-21,292091,DMS-REQ-0052-V-01: Enable a Range of Shape Measurement Approaches,Jim Bosch,5c2f5797a217aa69bce53f54,1b,Covered
