+-------------------+------------------+
|       ReqId       | percent_complete |
+-------------------+------------------+
| DMS-MWBT-REQ-0001 |       100        |
| DMS-MWBT-REQ-0002 |       100        |
| DMS-MWBT-REQ-0004 |       100        |
| DMS-MWBT-REQ-0005 |       100        |
| DMS-MWBT-REQ-0006 |       100        |
| DMS-MWBT-REQ-0007 |        0         |
| DMS-MWBT-REQ-0008 |       100        |
| DMS-MWBT-REQ-0009 |       100        |
| DMS-MWBT-REQ-0010 |        0         |
| DMS-MWBT-REQ-0011 |        0         |
| DMS-MWBT-REQ-0012 |       100        |
| DMS-MWBT-REQ-0013 |       100        |
| DMS-MWBT-REQ-0014 |        0         |
| DMS-MWBT-REQ-0015 |        0         |
| DMS-MWBT-REQ-0016 |        0         |
| DMS-MWBT-REQ-0017 |       100        |
| DMS-MWBT-REQ-0018 |        0         |
| DMS-MWBT-REQ-0019 |        0         |
| DMS-MWBT-REQ-0020 |       100        |
| DMS-MWBT-REQ-0024 |       100        |
| DMS-MWBT-REQ-0025 |       100        |
| DMS-MWBT-REQ-0026 |        0         |
| DMS-MWBT-REQ-0027 |        0         |
| DMS-MWBT-REQ-0028 |        0         |
| DMS-MWBT-REQ-0029 |        0         |
| DMS-MWBT-REQ-0030 |       100        |
| DMS-MWBT-REQ-0031 |       100        |
| DMS-MWBT-REQ-0032 |        0         |
| DMS-MWBT-REQ-0033 |       100        |
| DMS-MWBT-REQ-0034 |       100        |
| DMS-MWBT-REQ-0035 |        0         |
| DMS-MWBT-REQ-0036 |       100        |
| DMS-MWBT-REQ-0037 |       100        |
| DMS-MWBT-REQ-0038 |        0         |
| DMS-MWBT-REQ-0039 |       100        |
| DMS-MWBT-REQ-0040 |        0         |
| DMS-MWBT-REQ-0041 |        0         |
| DMS-MWBT-REQ-0042 |        0         |
| DMS-MWBT-REQ-0043 |        0         |
| DMS-MWBT-REQ-0044 |        0         |
| DMS-MWBT-REQ-0045 |        0         |
| DMS-MWBT-REQ-0046 |       100        |
| DMS-MWBT-REQ-0047 |       100        |
| DMS-MWBT-REQ-0048 |       100        |
| DMS-MWBT-REQ-0049 |        0         |
| DMS-MWBT-REQ-0050 |        0         |
| DMS-MWBT-REQ-0051 |        0         |
| DMS-MWBT-REQ-0053 |       100        |
| DMS-MWBT-REQ-0054 |       100        |
| DMS-MWBT-REQ-0055 |        0         |
| DMS-MWBT-REQ-0056 |        0         |
| DMS-MWBT-REQ-0057 |        0         |
| DMS-MWBT-REQ-0058 |       100        |
| DMS-MWBT-REQ-0059 |       100        |
| DMS-MWBT-REQ-0060 |       100        |
| DMS-MWBT-REQ-0061 |       100        |
| DMS-MWBT-REQ-0062 |       100        |
| DMS-MWBT-REQ-0063 |       100        |
| DMS-MWBT-REQ-0064 |       100        |
| DMS-MWBT-REQ-0065 |        0         |
| DMS-MWBT-REQ-0066 |       100        |
| DMS-MWBT-REQ-0067 |       100        |
| DMS-MWBT-REQ-0068 |       100        |
| DMS-MWBT-REQ-0069 |        0         |
| DMS-MWBT-REQ-0070 |       100        |
| DMS-MWBT-REQ-0071 |       100        |
| DMS-MWBT-REQ-0072 |        0         |
| DMS-MWBT-REQ-0073 |       100        |
| DMS-MWBT-REQ-0074 |       100        |
| DMS-MWBT-REQ-0075 |       100        |
| DMS-MWBT-REQ-0076 |       100        |
| DMS-MWBT-REQ-0077 |       100        |
| DMS-MWBT-REQ-0078 |        0         |
| DMS-MWBT-REQ-0080 |       100        |
| DMS-MWBT-REQ-0081 |       100        |
| DMS-MWBT-REQ-0082 |       100        |
| DMS-MWBT-REQ-0083 |       100        |
| DMS-MWBT-REQ-0084 |       100        |
| DMS-MWBT-REQ-0085 |       100        |
| DMS-MWBT-REQ-0086 |        0         |
| DMS-MWBT-REQ-0087 |       100        |
| DMS-MWBT-REQ-0088 |       100        |
| DMS-MWBT-REQ-0089 |        0         |
| DMS-MWBT-REQ-0090 |        0         |
| DMS-MWBT-REQ-0094 |        0         |
| DMS-MWBT-REQ-0095 |        0         |
+-------------------+------------------+
