+-------------------+------------------+
|       ReqId       | percent_complete |
+-------------------+------------------+
|  DMS-API-REQ-0001 |        0         |
|  DMS-API-REQ-0002 |        0         |
|  DMS-API-REQ-0003 |        0         |
|  DMS-API-REQ-0004 |       100        |
|  DMS-API-REQ-0005 |        0         |
|  DMS-API-REQ-0006 |       100        |
|  DMS-API-REQ-0007 |       100        |
|  DMS-API-REQ-0008 |       100        |
|  DMS-API-REQ-0009 |       100        |
|  DMS-API-REQ-0010 |        0         |
|  DMS-API-REQ-0011 |        0         |
|  DMS-API-REQ-0012 |        0         |
|  DMS-API-REQ-0013 |        0         |
|  DMS-API-REQ-0014 |        0         |
|  DMS-API-REQ-0015 |        0         |
|  DMS-API-REQ-0016 |        0         |
|  DMS-API-REQ-0017 |        0         |
|  DMS-API-REQ-0018 |        0         |
|  DMS-API-REQ-0019 |        0         |
|  DMS-API-REQ-0020 |        0         |
|  DMS-API-REQ-0021 |        0         |
|  DMS-API-REQ-0022 |        0         |
|  DMS-API-REQ-0023 |        0         |
|  DMS-API-REQ-0024 |        0         |
|  DMS-API-REQ-0025 |        0         |
|  DMS-API-REQ-0026 |        0         |
|  DMS-API-REQ-0027 |        0         |
|  DMS-API-REQ-0028 |        0         |
|  DMS-API-REQ-0029 |        0         |
|  DMS-API-REQ-0030 |        0         |
|  DMS-API-REQ-0031 |        0         |
|  DMS-API-REQ-0032 |        0         |
|  DMS-API-REQ-0033 |        0         |
|  DMS-API-REQ-0034 |        0         |
|  DMS-API-REQ-0035 |        0         |
|  DMS-API-REQ-0036 |        0         |
|  DMS-API-REQ-0037 |        0         |
|  DMS-API-REQ-0038 |        0         |
|  DMS-API-REQ-0039 |       100        |
|  DMS-API-REQ-0040 |        0         |
|  DMS-LSP-REQ-0001 |        0         |
|  DMS-LSP-REQ-0002 |        0         |
|  DMS-LSP-REQ-0003 |        0         |
|  DMS-LSP-REQ-0004 |        0         |
|  DMS-LSP-REQ-0005 |        0         |
|  DMS-LSP-REQ-0006 |        0         |
|  DMS-LSP-REQ-0007 |        0         |
|  DMS-LSP-REQ-0008 |        0         |
|  DMS-LSP-REQ-0009 |        0         |
|  DMS-LSP-REQ-0010 |       100        |
|  DMS-LSP-REQ-0011 |        0         |
|  DMS-LSP-REQ-0012 |        0         |
|  DMS-LSP-REQ-0013 |        0         |
|  DMS-LSP-REQ-0014 |        0         |
|  DMS-LSP-REQ-0015 |        0         |
|  DMS-LSP-REQ-0016 |        0         |
|  DMS-LSP-REQ-0017 |        0         |
|  DMS-LSP-REQ-0018 |        0         |
